,Electricity (kWh),Heating (kWh)
302,1267.959,14.851
303,991.817,90.678
304,1267.6,62.297
305,1487.221,9.767
306,1172.989,34.824
307,1385.727,45.618
308,990.412,70.89
309,901.78,13.019
310,1024.925,18.826
311,720.407,27.347
312,1168.952,23.483
313,1189.906,19.697
314,901.15,9.252
315,834.504,5.68
316,1329.922,30.005
317,753.643,10.724
318,948.072,88.699
319,1011.079,34.961
320,1299.379,156.587
321,844.516,87.569
322,1447.752,23.572
323,1168.766,36.349
324,1239.086,79.331
325,1204.616,49.652
326,990.312,27.591
327,1636.47,194.356
328,1364.743,14.348
329,1498.677,9.185
330,592.153,37.525
331,1019.36,35.144
332,1320.777,47.689
333,1106.428,26.24
334,1502.417,20.867
335,1043.179,9.477
336,629.794,17.658
337,1522.774,21.623
338,1155.875,12.204
339,586.181,10.325
340,1341.068,41.244
341,1072.191,57.665
342,1422.976,81.668
343,889.296,55.973
344,945.817,22.69
345,1108.075,5.077
346,1566.995,24.482
347,1555.555,22.653
348,1220.474,7.638
349,1304.14,27.079
350,1131.597,126.097
351,1547.709,30.29
352,1425.139,20.102
353,1337.336,82.364
354,1791.272,84.594
355,1104.216,19.304
356,1481.512,37.258
357,950.665,162.194
358,878.386,30.347
359,1130.042,14.229
360,1224.797,15.219
361,611.47,87.681
362,1244.109,12.598
363,882.905,15.927
364,748.504,13.91
365,1194.318,163.848
366,756.772,405.202
367,677.485,66.916
368,823.344,43.492
369,860.227,34.169
370,944.456,57.519
371,1465.764,64.222
372,1185.385,24.47
373,1758.444,7.872
374,719.29,89.931
375,1492.095,24.93
376,1269.626,74.233
377,1805.552,76.551
378,1396.805,41.921
379,1669.687,47.411
380,1018.996,153.765
381,628.485,32.79
382,950.537,31.648
383,632.674,22.058
384,674.815,38.774
385,925.647,4.227
386,1056.401,32.083
387,879.153,24.996
388,647.309,105.046
389,923.836,73.808
390,677.037,19.546
391,1203.011,32.675
392,1156.377,58.239
393,1417.284,8.995
394,967.669,29.754
395,1014.161,5.407
396,1565.287,40.448
397,1571.849,8.303
398,952.644,46.836
399,1614.544,97.168
400,1167.997,57.309
401,1881.453,96.114
402,1759.674,13.775
403,1641.966,12.314
404,1153.672,29.395
405,763.205,186.194
406,1527.663,84.208
407,995.633,14.556
408,905.06,27.04
409,744.911,14.553
410,979.033,51.271
411,886.955,12.555
412,934.824,63.331
413,583.245,34.354
414,673.278,27.279
415,1037.182,45.372
416,819.02,25.209
417,833.421,39.082
418,846.843,52.599
419,1545.347,21.87
420,1083.605,18.101
421,1466.13,58.388
422,1052.082,57.947
423,1811.071,63.19
424,1384.477,34.637
425,1627.273,10.603
426,1479.284,82.79
427,1233.246,33.89
428,1014.964,63.132
429,1261.534,44.157
430,866.629,6.884
431,1150.303,10.093
432,1107.003,9.761
433,612.194,24.282
434,920.747,11.516
435,504.496,26.716
436,1117.787,44.169
437,925.68,11.516
438,478.394,30.166
439,573.417,39.95
440,1067.382,38.488
441,847.587,87.702
442,960.114,35.035
443,1422.272,24.533
444,1445.261,86.437
445,1073.358,64.235
446,1246.649,37.072
447,1714.298,104.758
448,1384.976,22.187
449,1614.104,5.245
450,1357.547,33.778
451,1832.807,27.952
452,1043.818,73.68
453,988.279,43.362
454,1043.359,38.912
455,1173.157,18.747
456,802.427,22.12
457,717.188,51.951
458,961.308,11.207
459,645.361,18.734
460,1109.249,210.928
461,959.021,61.462
462,507.844,46.793
463,1076.325,16.941
464,1015.681,15.898
465,1013.842,7.183
466,1393.861,10.388
467,1251.039,6.667
468,1734.943,60.962
469,1541.979,9.739
470,1825.824,16.797
471,1328.059,78.463
472,1228.677,22.427
473,1477.762,39.471
474,2098.676,29.391
475,1297.063,35.966
476,876.233,61.784
477,1177.369,52.072
478,926.944,15.791
479,1025.12,14.56
480,1408.018,8.953
481,273.805,4.591
482,866.812,92.95
483,624.92,54.218
484,726.662,190.831
485,1077.266,36.028
486,828.053,151.561
487,748.541,141.63
488,1261.927,33.218
489,1250.969,213.349
490,1769.695,7.252
491,1281.645,9.226
492,1507.256,5.392
493,1920.382,95.06
494,860.664,75.277
495,1170.468,67.501
496,946.053,90.472
497,975.755,72.438
498,1816.527,6.832
499,1030.915,79.725
500,1459.922,105.896
501,824.998,125.716
502,1107.705,15.921
503,1311.002,9.112
504,805.889,26.462
505,197.759,11.016
506,1251.822,13.194
507,750.832,18.871
508,649.539,68.41
509,1026.049,92.517
510,906.481,65.29
511,1102.901,48.241
512,682.662,66.461
513,1114.163,58.889
514,1929.745,29.724
515,1319.548,12.918
516,1148.954,13.873
517,1514.19,51.11
518,909.678,63.546
519,1904.577,8.099
520,1796.362,10.261
521,1587.939,26.74
522,1670.104,13.452
523,1636.353,99.984
524,1488.412,138.535
525,997.787,36.14
526,681.16,10.912
527,492.498,7.301
528,744.669,23.625
529,758.531,11.576
530,1081.771,43.509
531,715.652,76.949
532,979.912,30.672
533,672.527,77.576
534,665.507,47.221
535,841.238,4.231
536,1039.23,16.355
537,1109.784,12.034
538,1240.095,11.304
539,1338.024,102.551
540,997.051,25.363
541,1076.243,131.281
542,1590.571,64.225
543,1566.185,28.687
544,1458.07,20.573
545,1242.26,15.45
546,687.676,90.856
547,865.44,43.77
548,1286.131,95.754
549,1481.608,15.721
550,710.07,22.927
551,551.658,121.63
552,852.373,63.957
553,892.294,22.403
554,1313.676,18.78
555,847.156,19.68
556,756.816,50.905
557,870.156,76.598
558,668.059,55.169
559,984.838,5.065
560,484.881,3.776
561,946.375,40.991
